City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.35,69,100,6.8,PN,1729709322
1,waitangi,-43.9535,-176.5597,13.79,96,42,1.34,NZ,1729709323
2,port-aux-francais,-49.35,70.2167,2.62,70,89,13.92,TF,1729709324
3,blackmans bay,-43.0167,147.3167,9.07,76,13,6.33,AU,1729709325
4,karymskoye,51.6167,114.35,-6.08,97,100,0.57,RU,1729709326
5,hobyo,5.3505,48.5268,26.35,87,22,8.89,SO,1729709327
6,east london,-33.0153,27.9116,16.52,94,0,1.54,ZA,1729709328
7,margaret river,-33.95,115.0667,9.19,88,4,2.96,AU,1729709329
8,kodiak,57.79,-152.4072,6.73,49,0,3.09,US,1729709092
9,port elizabeth,-33.918,25.5701,17.4,96,27,1.79,ZA,1729709332
10,yellowknife,62.456,-114.3525,1.34,87,20,5.66,CA,1729709333
11,maintirano,-18.0667,44.0167,25.65,81,0,1.4,MG,1729709334
12,san antonio de pale,-1.4014,5.6325,25.71,85,62,7.28,GQ,1729709335
13,georgetown,5.4112,100.3354,26.97,78,20,1.54,MY,1729709238
14,dawesville,30.9224,-84.0091,28.23,46,40,3.6,US,1729709337
15,bargaal,11.2864,51.0773,26.5,88,18,2.73,SO,1729709338
16,grytviken,-54.2811,-36.5092,-2.4,73,22,10.35,GS,1729709340
17,tiksi,71.6872,128.8694,-20.21,93,73,1.27,RU,1729709341
18,santiago de cao,-7.9589,-79.2392,19.07,82,75,5.66,PE,1729709342
19,holualoa,19.6228,-155.9522,26.02,74,20,2.57,US,1729709343
20,anadyr,64.75,177.4833,-6.72,73,0,8.0,RU,1729709344
21,cockburn town,21.4612,-71.1419,29.04,76,58,6.5,TC,1729709346
22,remire-montjoly,4.9167,-52.2667,28.02,89,75,1.54,GF,1729709347
23,puerto natales,-51.7236,-72.4875,17.25,39,75,10.8,CL,1729709294
24,guaruja,-23.9931,-46.2564,23.27,41,100,1.03,BR,1729709349
25,keflavik,64.0049,-22.5624,6.24,93,75,4.63,IS,1729709350
26,jamestown,42.097,-79.2353,22.79,45,40,6.69,US,1729709186
27,saipan,15.1355,145.701,28.39,83,20,6.17,MP,1729709352
28,tigpalay,7.4939,122.3431,24.45,91,100,1.07,PH,1729709354
29,udachny,66.4167,112.4,-15.01,97,99,1.29,RU,1729709355
30,hunchun,42.8675,130.3581,4.43,71,3,4.12,CN,1729709356
31,amga,60.8953,131.9608,-9.65,92,100,2.02,RU,1729709357
32,oriximina,-1.7656,-55.8661,36.48,37,100,2.89,BR,1729709358
33,murun-kuren,49.6342,100.1625,1.71,92,99,1.04,MN,1729709359
34,atafu village,-8.5421,-172.5159,28.64,74,100,9.42,TK,1729709360
35,westerland,54.9079,8.3033,12.01,94,40,4.63,DE,1729709361
36,vorgashor,67.5833,63.95,-5.34,92,89,2.7,RU,1729709363
37,cienfuegos,22.1461,-80.4356,31.08,62,40,2.57,CU,1729709364
38,utrik,11.2278,169.8474,28.31,81,77,4.56,MH,1729709365
39,chincha alta,-13.4099,-76.1323,21.59,71,23,3.66,PE,1729709366
40,cabedelo,-6.9811,-34.8339,29.37,66,47,6.49,BR,1729709335
41,sitka,57.0531,-135.33,4.94,87,100,2.06,US,1729709368
42,isafjordur,66.0755,-23.124,1.02,93,100,2.06,IS,1729709369
43,klyuchi,52.2667,79.1667,5.92,83,98,4.2,RU,1729709370
44,barcelos,41.5388,-8.6151,18.37,71,0,0.86,PT,1729709372
45,badger,64.8,-147.5333,-0.07,84,75,7.2,US,1729709373
46,hammerfest,70.6634,23.6821,2.25,93,20,0.0,NO,1729709375
47,bethel,41.3712,-73.414,24.65,56,0,5.14,US,1729709376
48,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1729709377
49,la ronge,55.1001,-105.2842,6.14,56,75,9.26,CA,1729709378
50,papatowai,-46.5619,169.4708,12.89,98,100,2.01,NZ,1729709380
51,lompoc,34.6391,-120.4579,28.96,43,20,1.54,US,1729709298
52,albany,42.6001,-73.9662,25.51,34,3,0.89,US,1729709382
53,beledweyne,4.7358,45.2036,28.5,64,30,5.86,SO,1729709383
54,edinburgh of the seven seas,-37.0676,-12.3116,14.79,83,100,15.69,SH,1729709384
55,plastun,44.7561,136.2939,5.1,82,8,5.48,RU,1729709385
56,keelung,25.1283,121.7419,23.94,91,100,8.48,TW,1729709386
57,kusheriki,10.5328,6.4422,26.79,46,100,2.17,NG,1729709387
58,fort mcmurray,56.7268,-111.381,4.77,65,100,5.66,CA,1729709388
59,luderitz,-26.6481,15.1594,15.36,88,16,1.97,NA,1729709390
60,rongelap,11.1635,166.8941,28.29,81,99,4.78,MH,1729709391
61,iqaluit,63.7506,-68.5145,-3.15,63,75,3.09,CA,1729709393
62,manzini,-26.25,31.5,18.5,79,100,2.17,SZ,1729709394
63,hawaiian paradise park,19.5933,-154.9731,23.83,98,100,2.57,US,1729709395
64,kiffa,16.6166,-11.4045,35.0,14,19,2.89,MR,1729709396
65,semey,50.4111,80.2275,7.12,74,99,3.24,KZ,1729709397
66,chicoana,-25.1009,-65.5331,31.03,36,0,5.12,AR,1729709399
67,college,64.8569,-147.8028,-0.52,78,100,4.29,US,1729709400
68,bredasdorp,-34.5322,20.0403,15.88,89,99,1.03,ZA,1729709401
69,shahdad kot,27.8477,67.9055,27.98,20,0,3.66,PK,1729709402
70,stanley,54.868,-1.6985,11.27,86,40,2.57,GB,1729709177
71,ust-nera,64.5667,143.2,-18.11,98,100,2.1,RU,1729709404
72,malabrigo,-29.3464,-59.9696,31.73,50,100,2.82,AR,1729709405
73,manakara,-22.1333,48.0167,21.61,89,12,3.38,MG,1729709407
74,khandyga,62.6667,135.6,-11.88,86,100,1.39,RU,1729709408
75,vorkuta,67.5,64.0,-5.72,93,89,2.15,RU,1729709409
76,mount gambier,-37.8333,140.7667,7.17,80,20,3.08,AU,1729709410
77,sabang,5.8933,95.3214,28.29,78,91,7.71,ID,1729709411
78,codrington,-38.2667,141.9667,7.91,77,21,5.15,AU,1729709412
79,tralee,52.2704,-9.7026,12.98,82,100,6.69,IE,1729709413
80,ternate,0.8,127.4,27.34,75,95,3.15,ID,1729709414
81,santo tome,-31.6627,-60.7653,32.54,49,42,5.39,AR,1729709415
82,puerto ayora,-0.7393,-90.3518,22.53,91,88,3.58,EC,1729709417
83,cabo san lucas,22.8909,-109.9124,32.64,48,0,2.06,MX,1729709418
84,dalnegorsk,44.5604,135.5701,3.9,91,100,5.31,RU,1729709419
85,bilibino,68.0546,166.4372,-17.58,99,100,1.25,RU,1729709420
86,chonchi,-42.6128,-73.8092,19.51,55,9,0.1,CL,1729709421
87,namibe,-15.1961,12.1522,19.46,73,75,4.81,AO,1729709423
88,whitehorse,60.7161,-135.0538,-0.5,92,100,1.54,CA,1729709424
89,saldanha,-33.0117,17.9442,16.56,74,100,3.33,ZA,1729709426
90,baiyin,36.5583,104.2081,9.6,48,0,0.49,CN,1729709427
91,chibougamau,49.9168,-74.3659,7.79,93,100,9.77,CA,1729709238
92,lebu,-37.6167,-73.65,14.77,82,97,5.01,CL,1729709429
93,horta,38.5333,-28.6333,20.01,80,40,3.09,PT,1729709430
94,ushuaia,-54.8,-68.3,10.81,58,40,9.26,AR,1729709431
95,international falls,48.6011,-93.411,4.1,70,100,5.14,US,1729709432
96,port alfred,-33.5906,26.891,17.32,94,70,1.34,ZA,1729709433
97,nabire,-3.3667,135.4833,23.56,93,100,1.46,ID,1729709435
98,sefaatli,39.5043,34.7563,7.16,67,0,2.29,TR,1729709436
99,dunedin,-45.8742,170.5036,13.22,93,100,2.24,NZ,1729709437
100,kirakira,-10.4544,161.9205,25.9,86,32,3.76,SB,1729709438
101,invercargill,-46.4,168.35,12.23,99,100,2.24,NZ,1729709370
102,ilulissat,69.2167,-51.1,0.01,80,75,4.12,GL,1729709440
103,macau,22.2006,113.5461,23.85,60,0,10.29,MO,1729709441
104,thompson,55.7435,-97.8558,0.09,86,100,6.69,CA,1729709442
105,bomdila,27.25,92.4,6.79,63,98,2.14,IN,1729709444
106,mira,45.4358,12.1348,16.24,96,75,3.6,IT,1729709445
107,newman,37.3138,-121.0208,22.8,38,0,2.24,US,1729709446
108,scottburgh,-30.2867,30.7532,18.85,77,5,7.45,ZA,1729709447
109,wailua homesteads,22.0669,-159.378,25.44,92,40,1.54,US,1729709448
110,hithadhoo,-0.6,73.0833,28.02,74,100,4.05,MV,1729709449
111,zhezqazghan,47.7833,67.7667,7.36,65,100,7.57,KZ,1729709450
112,siluko,6.5386,5.1609,24.37,97,100,1.39,NG,1729709451
113,longyearbyen,78.2186,15.6401,1.91,87,75,1.54,SJ,1729709453
114,iskateley,67.6803,53.1512,3.97,95,100,3.55,RU,1729709454
115,coquimbo,-29.9533,-71.3436,18.85,61,0,7.72,CL,1729709392
116,bel ombre,-4.6167,55.4167,26.91,78,20,1.54,SC,1729709457
117,ribeira grande,38.5167,-28.7,20.43,73,40,3.09,PT,1729709458
118,takoradi,4.8845,-1.7554,25.46,89,84,3.67,GH,1729709424
119,hasaki,35.7333,140.8333,23.93,88,0,4.51,JP,1729709461
120,miri,4.4148,114.0089,29.08,79,40,2.57,MY,1729709458
121,praia da vitoria,38.7333,-27.0667,19.14,88,20,7.03,PT,1729709315
122,kailua-kona,19.6406,-155.9956,28.09,74,20,2.57,US,1729709464
123,petrolina,-9.3986,-40.5008,34.03,31,0,4.63,BR,1729709466
124,new norfolk,-42.7826,147.0587,8.17,80,7,2.61,AU,1729709467
125,soledade,-28.8183,-52.5103,21.43,92,100,3.23,BR,1729709301
126,egilsstadir,65.2653,-14.3948,0.95,100,75,3.6,IS,1729709470
127,talnakh,69.4865,88.3972,-19.08,93,66,3.26,RU,1729709471
128,summerside,46.3959,-63.7876,18.07,82,0,7.72,CA,1729709472
129,revda,56.801,59.9303,6.06,91,100,4.16,RU,1729709473
130,freetown,8.484,-13.2299,26.25,83,85,3.15,SL,1729709474
131,potosi,-19.5836,-65.7531,18.48,34,40,6.17,BO,1729709233
132,dudinka,69.4058,86.1778,-19.39,99,100,2.8,RU,1729709476
133,ancud,-41.8697,-73.8203,13.35,75,9,5.07,CL,1729709477
134,general acha,-37.377,-64.6043,19.66,54,100,2.79,AR,1729709479
135,colonia,50.9333,6.95,11.64,84,0,2.1,DE,1729709481
136,nar'yan-mar,67.6713,53.087,4.1,95,100,3.56,RU,1729709482
137,ponta delgada,37.7333,-25.6667,20.4,94,40,5.14,PT,1729709483
138,hermanus,-34.4187,19.2345,19.33,59,65,3.46,ZA,1729709484
139,gangapur,26.4833,76.7167,26.5,28,36,2.26,IN,1729709486
140,tual,-5.6667,132.75,26.48,79,99,1.92,ID,1729709487
141,naama,33.2667,-0.3167,17.75,39,100,2.78,DZ,1729709488
142,dong ha,16.8163,107.1003,22.77,87,100,2.58,VN,1729709489
143,boa vista,2.8197,-60.6733,34.99,38,75,5.66,BR,1729709204
144,qaqortoq,60.7167,-46.0333,-0.33,76,100,0.82,GL,1729709491
145,dehdasht,30.7949,50.5646,18.93,49,12,1.08,IR,1729709492
146,manokwari,-0.8667,134.0833,25.67,80,100,3.1,ID,1729709494
147,nova sintra,14.8667,-24.7167,26.2,75,45,4.79,CV,1729709496
148,zarzis,33.504,11.1122,24.11,79,8,11.69,TN,1729709497
149,arraial do cabo,-22.9661,-42.0278,31.98,69,0,6.17,BR,1729709420
150,sampit,-2.5333,112.95,24.21,91,100,0.62,ID,1729709499
151,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,70,75,3.0,RU,1729709500
152,kushima,31.4583,131.2333,21.16,88,100,1.78,JP,1729709501
153,arkhangel'sk,64.5401,40.5433,6.06,93,100,5.0,RU,1729709502
154,tazacorte,28.629,-17.9293,22.54,91,40,3.6,ES,1729709505
155,punta arenas,-53.15,-70.9167,14.06,44,0,9.77,CL,1729709506
156,olonkinbyen,70.9221,-8.7187,-1.12,84,100,0.58,SJ,1729709507
157,dakingari,11.6451,4.0605,31.23,48,19,1.39,NG,1729709508
158,bousso,10.4795,16.7117,28.54,39,27,0.21,TD,1729709510
159,mejit,10.2753,170.8646,28.55,77,66,5.63,MH,1729709511
160,weno,7.4515,151.8468,26.97,89,100,3.6,FM,1729709512
161,kayyerkan,69.3786,87.7439,-18.47,93,82,2.65,RU,1729709513
162,avarua,-21.2078,-159.775,23.03,78,75,4.63,CK,1729709492
163,na klang,17.3072,102.1889,24.13,78,100,1.62,TH,1729709515
164,happy valley-goose bay,53.3168,-60.3315,19.17,52,75,6.17,CA,1729709516
165,reggane,26.7158,0.1714,25.52,28,1,4.56,DZ,1729709517
166,carutapera,-1.195,-46.02,29.26,64,100,5.24,BR,1729709519
167,port augusta,-32.5,137.7667,12.52,72,8,4.74,AU,1729709520
168,bambari,5.768,20.6757,23.65,89,25,0.56,CF,1729709521
169,canas,10.4294,-85.0931,30.62,70,22,3.46,CR,1729709522
170,jinchang,38.4953,102.1739,10.44,27,0,0.05,CN,1729709523
171,suntar,62.1444,117.6319,-8.76,96,99,2.14,RU,1729709524
172,kuala tungkal,-0.8167,103.4667,26.14,82,100,0.98,ID,1729709525
173,talcahuano,-36.7167,-73.1167,13.82,82,100,3.6,CL,1729709526
174,haiku-pauwela,20.9219,-156.3051,26.2,76,40,8.49,US,1729709527
175,worthing,50.8145,-0.3713,12.94,83,0,3.6,GB,1729709529
176,rio grande,-32.035,-52.0986,21.17,87,100,6.32,BR,1729709530
177,piton saint-leu,-21.2196,55.3151,22.06,53,100,3.09,RE,1729709531
178,port mathurin,-19.6833,63.4167,23.02,90,100,11.86,MU,1729709532
179,otacilio costa,-27.4831,-50.1219,20.09,95,100,1.41,BR,1729709533
180,johi,26.6921,67.6133,30.88,17,0,3.63,PK,1729709535
181,severo-vostotchnyi bank,39.4112,49.2479,14.28,61,3,1.39,AZ,1729709536
182,labasa,-16.4167,179.3833,22.81,86,96,3.4,FJ,1729709537
183,port lincoln,-34.7333,135.8667,13.82,52,98,5.46,AU,1729709538
184,dalandzadgad,43.5708,104.425,8.97,39,67,2.91,MN,1729709539
185,kone,-21.0595,164.8658,20.16,91,0,2.05,NC,1729709540
186,kavaratti,10.5669,72.642,27.66,76,99,0.93,IN,1729709541
187,punta cana,18.5818,-68.4043,31.87,70,40,4.12,DO,1729709543
188,la sarre,48.8002,-79.1996,3.35,92,100,5.23,CA,1729709350
189,coahuayana de hidalgo,18.7,-103.6583,32.2,64,29,2.83,MX,1729709546
190,fortuna,40.5982,-124.1573,11.1,100,100,4.12,US,1729709547
191,loen,7.7601,168.2307,28.99,74,41,5.16,MH,1729709548
192,dwarka,22.2394,68.9678,28.89,72,3,3.1,IN,1729709549
193,vilyuchinsk,52.9306,158.4028,5.15,86,100,3.08,RU,1729709550
194,bardai,11.65,7.2333,26.57,27,100,3.02,NG,1729709552
195,vila velha,-20.3297,-40.2925,29.97,74,20,8.23,BR,1729709347
196,bushehr,28.9684,50.8385,26.05,61,75,3.09,IR,1729709554
197,raseiniai,55.3736,23.1217,7.75,90,0,4.85,LT,1729709555
198,verkhnevilyuysk,63.4453,120.3167,-11.01,93,100,3.35,RU,1729709556
199,amos,48.5669,-78.1162,4.11,85,100,4.25,CA,1729709557
200,souillac,-20.5167,57.5167,23.21,78,75,6.69,MU,1729709558
201,olinda,-8.0089,-34.8553,27.85,65,40,5.66,BR,1729709503
202,minas de marcona,-15.2119,-75.1103,20.0,56,0,8.71,PE,1729709560
203,lingyuan,41.24,119.4011,5.85,63,0,1.95,CN,1729709562
204,totness,5.8833,-56.3167,30.36,65,26,4.95,SR,1729709563
205,san luis de la loma,17.2706,-100.8939,29.78,73,100,3.39,MX,1729709566
206,zilair,52.2332,57.4392,6.18,75,100,3.43,RU,1729709567
207,fort bragg,35.139,-79.006,28.28,44,0,1.54,US,1729709569
208,gamba,-2.65,10.0,24.81,92,100,4.17,GA,1729709570
209,sinabang,2.4803,96.3801,26.29,82,94,1.22,ID,1729709571
210,west island,-12.1568,96.8225,25.99,83,75,4.63,CC,1729709572
211,fortaleza,-3.7227,-38.5247,30.07,54,0,7.72,BR,1729709478
212,bitkine,11.9801,18.2138,30.11,24,78,1.89,TD,1729709574
213,lerwick,60.1545,-1.1494,12.1,83,100,9.43,GB,1729709575
214,buala,-8.145,159.5921,26.31,85,100,3.44,SB,1729709576
215,suez,29.9737,32.5263,17.55,47,0,5.44,EG,1729709578
216,kavieng,-2.5744,150.7967,27.67,83,100,8.95,PG,1729709579
217,montmagny,48.9734,2.3469,12.38,81,0,3.6,FR,1729709580
218,choyr,46.3611,108.3611,1.29,64,29,3.48,MN,1729709581
219,hotan,37.0997,79.9269,12.39,20,0,2.1,CN,1729709582
220,perene,-10.9492,-75.2261,26.3,87,100,1.74,PE,1729709583
221,zagora,30.3484,-5.8365,24.05,31,84,3.61,MA,1729709584
222,alofi,-19.0595,-169.9187,23.94,78,75,7.2,NU,1729709585
223,biltine,14.5333,20.9167,31.49,18,46,3.4,TD,1729709586
224,gaspe,48.8334,-64.4819,19.12,55,20,5.66,CA,1729709299
225,ulan-ude,51.8261,107.6098,-3.06,86,100,1.0,RU,1729709590
226,kalymnos,36.95,26.9833,18.74,68,0,4.12,GR,1729709591
227,eseka,3.65,10.7667,23.12,99,91,1.23,CM,1729709592
228,alenquer,-1.9417,-54.7383,37.55,32,100,3.54,BR,1729709593
229,maragogi,-9.0122,-35.2225,27.09,64,55,4.73,BR,1729709594
230,patnanungan,14.7833,122.1833,26.9,85,100,11.26,PH,1729709595
231,kismayo,-0.3582,42.5454,26.23,76,5,6.51,SO,1729709597
232,quellon,-43.1167,-73.6167,14.61,71,21,2.21,CL,1729709598
233,san patricio,28.017,-97.5169,29.97,40,0,3.49,US,1729709599
234,richards bay,-28.783,32.0377,20.2,83,98,6.5,ZA,1729709600
235,dolbeau-mistassini,48.8763,-72.212,18.26,51,100,7.62,CA,1729709601
236,ibotirama,-12.1853,-43.2206,35.44,24,6,1.7,BR,1729709525
237,quiberon,47.4841,-3.1196,14.0,79,0,7.44,FR,1729709603
238,bislig,8.2167,126.2833,23.99,83,96,1.98,PH,1729709604
239,bryne,58.7354,5.6477,11.24,90,75,3.6,NO,1729709605
240,tadine,-21.55,167.8833,22.31,84,13,5.78,NC,1729709607
241,bayanhongor,46.7167,100.1167,-6.86,81,50,1.77,MN,1729709608
242,tolanaro,-25.0319,46.9987,22.04,94,40,9.77,MG,1729709609
243,nadi,-17.8,177.4167,22.0,83,100,2.06,FJ,1729709610
244,alice springs,-23.7,133.8833,21.75,37,16,2.57,AU,1729709611
245,sanshui,23.1549,112.8916,17.2,65,100,3.45,CN,1729709612
246,buzuluk,52.7807,52.2635,9.53,88,100,3.58,RU,1729709613
247,guariba,-21.36,-48.2283,28.64,55,100,2.7,BR,1729709403
248,zaozersk,69.4005,32.4476,2.22,89,6,2.87,RU,1729709616
249,sao gabriel da cachoeira,-0.1303,-67.0892,30.89,70,20,2.57,BR,1729709595
250,belyy yar,53.6039,91.3903,1.94,93,40,1.0,RU,1729709618
251,salinopolis,-0.6136,-47.3561,27.97,71,78,6.7,BR,1729709619
252,beatrice,40.2681,-96.747,17.05,39,0,3.09,US,1729709607
253,fukuecho,32.6881,128.8419,19.92,65,95,6.46,JP,1729709621
254,sisimiut,66.9395,-53.6735,-1.87,82,100,5.28,GL,1729709622
255,fada,7.25,4.0667,28.37,78,20,1.03,NG,1729709623
256,warrnambool,-38.3833,142.4833,10.03,72,44,5.93,AU,1729709624
257,laranjeiras do sul,-25.4078,-52.4161,28.12,58,0,2.35,BR,1729709626
258,gotsucho,35.0,132.2167,16.17,75,100,1.26,JP,1729709627
259,hadibu,12.65,54.0333,27.07,83,64,0.15,YE,1729709628
260,durango,24.8333,-104.8333,24.15,31,0,4.72,MX,1729709629
261,umm kaddadah,13.6017,26.6876,32.26,18,3,5.84,SD,1729709630
262,enewetak,11.3474,162.3373,28.39,80,100,5.74,MH,1729709631
263,kuching,1.55,110.3333,26.12,92,20,1.54,MY,1729709632
264,aasiaat,68.7098,-52.8699,-4.65,91,96,3.61,GL,1729709634
265,nizhnyaya tavda,57.6731,66.1725,6.6,92,100,4.11,RU,1729709635
266,constantia,44.1833,28.65,10.39,54,43,3.96,RO,1729709636
267,sur,22.5667,59.5289,27.61,74,2,3.03,OM,1729709637
268,igrim,63.1906,64.4162,1.6,99,100,0.17,RU,1729709638
269,tura,25.5198,90.2201,21.86,96,100,1.46,IN,1729709639
270,kaliganj,23.4095,89.1402,24.31,93,100,3.93,BD,1729709640
271,st. john's,47.5649,-52.7093,13.66,57,40,12.86,CA,1729709461
272,el calafate,-50.3408,-72.2768,11.96,60,100,3.77,AR,1729709343
273,santa elena de uairen,4.6167,-61.1333,30.33,31,100,3.54,VE,1729709644
274,hluti,-27.2167,31.6167,17.85,80,97,1.15,SZ,1729709645
275,afaahiti,-17.75,-149.2833,24.93,86,100,7.75,PF,1729709646
276,al wajh,26.2455,36.4525,27.97,47,0,3.6,SA,1729709647
277,fale old settlement,-9.3852,-171.2468,28.75,72,28,8.35,TK,1729709649
278,kaga bandoro,6.9896,19.1874,23.56,91,87,1.46,CF,1729709650
279,lospalos,-8.5186,127.0025,22.47,78,0,0.51,TL,1729709651
280,bonthe,7.5264,-12.505,26.04,86,65,3.6,SL,1729709652
281,senador jose porfirio,-2.5908,-51.9542,34.35,39,98,1.57,BR,1729709653
282,vadso,70.0744,29.7487,2.09,93,75,5.14,NO,1729709654
283,berdsk,54.7551,83.0967,5.57,89,100,4.47,RU,1729709655
284,songling,31.1933,120.7176,13.25,77,0,2.14,CN,1729709658
285,malango,-2.9627,119.9001,18.05,96,100,1.34,ID,1729709659
286,saint-philippe,-21.3585,55.7679,22.11,83,36,5.74,RE,1729709660
287,tayaman,13.2295,120.5726,24.37,97,100,15.14,PH,1729709661
